# One line per check. A line missing ANY field does not count as a result.
# control = did a positive control fire (something that must appear whether or not the feature works)
# alone   = was anything else driving on the same instance/directory at the time
# TIMESTAMP every row: YYYY-MM-DD HH:MM, not just the date.
#
# ARM LABEL (added 2026-08-27 03:27 CEST). A two-arm A/B writes TWO rows and the parent arm is
#   SUPPOSED to FAIL — that failure is the proof the probe measures the defect, not a
#   result. Any query that takes "the latest row per cell" therefore reads a driven,
#   passing cell as failing; that happened to me twice on this file. So start the
#   'what' column with one of:
#     [parent]  the pre-fix control arm. A FAIL here is EXPECTED and is evidence.
#     [fix]     the with-fix arm. THIS ROW IS THE VERDICT.
#     [single]  a one-armed reading with no pre-fix control (rarer; say why in the text).
#   Rows written before this note use prose forms such as "(PARENT arm)" / "(FIX arm)".
# Rows written before
# 2026-08-26 16:05 CEST carry a date only; everything after carries the time.
# STALE = CODE changed since that commit, not merely that commits landed. Check with:
#   git diff --name-only <row commit>..issue/1761-agent-runtime | grep -v '^docs/'
# Empty output means the row still counts. The first version of this rule said "behind the
# tip" and would have thrown away 25 valid rows over three docs-only commits.
what	driver	verdict	commit	control	alone	date	issue
A1c send to a dead session	shell-native	PASS dead-session send returned typed dead_letter refusal	40c198eae5987da8cfa81ac20582ad9161d8270e	yes; baseline marker echoed before kill and dead send returned disposition=dead_letter	no other p2917shell probe at preflight; other named instances running; root 18G free at cell start	2026-08-27 03:07:00 CEST	POD-2917
A6a terminal attach + type	shell-native	PASS keystrokes echoed, resize refit, and second viewer saw the same screen	40c198eae5987da8cfa81ac20582ad9161d8270e	yes; marker P2874-A6A-MTATQ5NY echoed; attached=1; second replay=true; geometry 80x24 to 100x30	no other p2917shell probe at preflight; other named instances running; root 18G free at cell start	2026-08-27 03:08:01 CEST	POD-2917
A7a daemon restart	shell-native	PASS daemon restart retained the same live shell session and codeword	40c198eae5987da8cfa81ac20582ad9161d8270e	yes; marker P2874-A7A-MTATRTFC echoed before and after restart; daemon PID 490995 to 558640; post pin matched	no other p2917shell probe at preflight; unrelated p2918 server PID 554006 appeared during/after run; root 17G free at cell start	2026-08-27 03:09:23 CEST	POD-2917
A9 kill session	shell-native	PASS session process tree was gone immediately and after five minutes	40c198eae5987da8cfa81ac20582ad9161d8270e	yes; unique marker P2874-A9-MTAUEQ55 echoed in 501ms; before=1, immediate=0, after 5min=0	no other p2917shell probe; independent /proc target_count=0 at 03:33:46; expected p2917 server 502194 and daemon 558640 only; unrelated p2918 services; root 17G free at cell start	2026-08-27 03:27:09 CEST	POD-2917
[parent] cross-session transcript leak, same directory	opencode-headless	FAIL fault content WAS the companion nonce; session=1/message=1/user=1/assistant=0/part=1, native id pointed at the companion	4a18e7d2	yes companion nonce via API before any SQLite read	no 5 sessions live	2026-08-27 03:57 CEST	POD-2871
[fix] cross-session transcript leak, same directory	opencode-headless	PASS fault content EMPTY in a separate session-owned store, same row counts	6b862e59d	yes same API control	no 5 sessions live	2026-08-27 03:57 CEST	POD-2871
[single] different directories keep their own rows (both arms)	opencode-headless	PASS each directory retained its own nonce and rows, before and after	6b862e59d	yes per-directory nonce	no 5 sessions live	2026-08-27 03:57 CEST	POD-2871
[single] reaper leaves no rebound 17 min after the drive	n/a-process	PASS delayed read-only /proc census found no live process under any pod-2691-real-root-* cwd; sentinels 696306, 696335, 696353 all exited	ee8d99157	yes three named sentinel pids	no 5 sessions live	2026-08-27 04:07 CEST	POD-2691
[single] A3 interrupt on claude — the 23:02 attempt is WITHDRAWN by its own driver	claude-pty	VOID no control fired: user=false working=false screenBytes=0 phase=idle status=exited, sessions.interrupt never called; supersedes the 2026-08-26 23:13 REFUSED row as void rather than a result	4a18e7d2	no by definition	yes root was 100% full	2026-08-27 04:09 CEST	POD-2905
[single] apps/web typechecks on the epic tip	n/a-gate	PASS tsgo --noEmit exit 0, zero errors	60f22d8d9	yes exit code + empty log both checked	no 4 sessions live	2026-08-27 04:16 CEST	POD-1761
attachment staging typed refusal	codex (parent/fix/tip)	PASS; parent 5979159e3 reproduced the raw attachment-staging throw, exact fix 10d5af58a returned the typed unsupported refusal, and epic tip a3d702ad staged/read back the probe file; audit marker b247c2dbf was the feature commit, not the refusal fix	5979159e30e8c0f2ff9f242ab64919fec6793245->10d5af58aa9be901105eeb2291504720e86d931b; epic tip a3d702adcccb133f8fc09f44ccc5cb8b5404abb1	yes; fake app-server/session-created control fired once in each arm	one named instance and one probe directory per arm; daemon/server pins written at process start; web n/a because no apps/web path is involved	2026-08-27 03:29:11 CEST	POD-2408
[single] apps/web typecheck, SAME method as the branch, uncached	n/a-gate	PASS 16/16 tasks, 0 cached, 1m54s, zero TS errors on the tip WITHOUT POD-2691's change	b6e49b7dd	yes 0-cached + 114s runtime both checked	no 6 sessions live	2026-08-27 04:49 CEST	POD-2691
A1a send while idle	opencode-headless	PASS idle send arrived and settled as delivered	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; marker A1A-ARXEKE was durable and the assistant replied	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a1a; server/daemon/bundle pins verified; root 16G free at cell start	2026-08-27 04:24:08 CEST	POD-2919
A1b send while busy	opencode-headless	PARTIAL queued send delivered and survived reload but no queue position reached the caller	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; busy control phase=working; marker A1B-D2LWFB delivered after socket close/reopen	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a1b; server/daemon/bundle pins verified; root 16G free at cell start	2026-08-27 04:26:12 CEST	POD-2919
A1c send to dead session	opencode-headless	PASS dead-session send returned a typed refusal	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; alive marker control replied before kill; dead send returned dead-lettered refusal	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a1c; server/daemon/bundle pins verified; root 16G free at cell start	2026-08-27 04:27:07 CEST	POD-2919
A2b status at boot	opencode-headless	PASS fresh opencode session settled idle without a premature working or blank bound phase	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; bound driver=opencode-server and final phase=idle; boot timeline captured	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a2b; server/daemon/bundle pins verified; root 16G free at cell start	2026-08-27 04:27:49 CEST	POD-2919
A5 transcript	opencode-headless	PASS opencode tool calls paired to results and transcript history survived reload	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; toolItems=2, toolUseIds paired=1, assistant marker arrived	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a5; server/daemon/bundle pins verified; root 16G free at cell start	2026-08-27 04:28:39 CEST	POD-2919
A7a daemon restart	opencode-headless	PASS; daemon PID changed and opencode recalled the same codeword/conversation on the reaper-pinned daemon	fb67ef2278f083bf1bc7036186dea1e183dfcec6	yes; pre-restart codeword CODEWORD-A6P6IE and post-restart recall arrived; pointer unchanged; daemon 1076504->1079605	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a7a; server/daemon/bundle pins verified before restart and new daemon re-pinned; reaper source present; root 14G free at cell start; reading docs/evidence/pod-2919/readings/a7a-headless.json	2026-08-27 05:55:03 CEST	POD-2919
A10 driver identity	opencode-both-arms	PASS headless reported opencode-server/server and explicit generic-pty reported generic-pty/terminal	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; headless bound opencode-server/server and terminal bound generic-pty/terminal with live control	yes; one named instance oc2919; unique CWDs /tmp/pod-2919/probes/headless-a10 and terminal-a10; server/daemon/bundle pins verified for both arms; runtime preference read from daemon environment	2026-08-27 04:36:18 CEST	POD-2919
[parent] A9 kill session	opencode-headless	FAIL pre-reaper control left one earlier A7a opencode orphan after five minutes; not a verdict on the landed reaper	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; current session process was removed at 15s; /proc watch found survivor PID 847955 in /tmp/pod-2919/probes/headless-a7a at 300s; infrastructure 2/2 alive	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a9; pre-fix server/daemon/bundle pins verified; survivor captured by cwd+environment and exact-PID cleaned; superseded by the labelled fix arm	2026-08-27 04:38:27 CEST	POD-2919
[fix] A9 kill session	opencode-headless	PASS reaper removed the fresh stamped session process; no orphan or PID rebound after 300 seconds	fb67ef2278f083bf1bc7036186dea1e183dfcec6	yes; marker A9-2VF4PA replied; before=1 current-daemon stamped process; after15s=0; after300s=0; rebound=0; infrastructure=2/2	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a9; spawn CWD matched query; daemon UUID a1ce2d12-849a-4b8c-a64a-d8b23bac46e7 from instance.json; server/daemon/bundle pins verified; fresh A7a setup restarted daemon 1076504->1079605, final persistent daemon 1086980; /proc cwd map covered tmp and worktree	2026-08-27 06:02:20 CEST	POD-2919
A9 kill session	opencode-headless	FAIL after five minutes one opencode process remained; it was an earlier A7a orphan in /tmp/pod-2919/probes/headless-a7a	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; current session process control existed and was removed at 15s; /proc watch found one same-instance orphan at 300s; infrastructure 2/2 alive	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a9; server/daemon/bundle pins verified; survivor PID 847955 was captured by cwd+environment and then exact-PID cleaned	2026-08-27 04:38:27 CEST	POD-2919
A3 interrupt mid-turn	opencode-headless	PARTIAL turn stopped 632ms after protocol interrupt but transcript did not show an interrupt marker	94dffcda323fb02ad10038e6d7fe7e034f190f9f	yes; interrupt control fired; phase left working and settled idle	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a3; server/daemon/bundle pins verified; load1=7.47; vmstatQuiet=true; root 13G free at cell start; reading docs/evidence/pod-2919/readings/a3-headless.json	2026-08-27 05:03:03 CEST	POD-2919
A3 interrupt mid-turn	opencode-headless	PARTIAL turn ended 632ms after protocol interrupt, but the probe did not prove the session was working and the transcript had no interrupt marker	94dffcda323fb02ad10038e6d7fe7e034f190f9f	yes; interrupt control fired; motion/output settled idle, but the scorer does not require pre-interrupt phase=working and does not enforce transcript event:'interrupt'	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/headless-a3; server/daemon/bundle pins verified; load1=7.47; vmstatQuiet=true; root 13G free at cell start; reading docs/evidence/pod-2919/readings/a3-headless.json	2026-08-27 05:03:03 CEST	POD-2919
POD-2604 provider error UI (PARENT arm)	grok-browser	NO_MEASUREMENT; Grok spawn hit create-session: File name too long before the SessionStart control fired	6c668904614fc5a79877e5e791634b5c570f019d	no	no other probe; named p2915; server/web/daemon pinned to parent	2026-08-27 04:05:15 CEST	POD-2604
POD-2604 provider error UI (FIX arm)	grok-browser	GONE; working control then usage_limit errored, and Chat showed Usage limit reached with 402 provider detail, SESSION BLOCKED, and Resume the session	91114b3a420f963ba2f1e65d0173f20a4513813d	yes (working)	no other probe; named p2915; server/web/daemon pinned to 91114b3a420f963ba2f1e65d0173f20a4513813d	2026-08-27 04:05:15 CEST	POD-2604
POD-2761 Chat-to-CLI switch (PARENT arm)	codex-browser	NO_MEASUREMENT; codex-app-server bound but native terminal attach hit create-session: File name too long, so no screen control fired	server/web=91114b3a420f963ba2f1e65d0173f20a4513813d; daemon=a841ade7407d91e72e946d05ebd281fe59f557b6	no	no other probe; named p2915; daemon pinned to exact parent	2026-08-27 04:05:15 CEST	POD-2761
POD-2761 Chat-to-CLI switch (FIX arm)	codex-browser	GONE; ALPHA/BRAVO/CHARLIE survived Chat-to-CLI-to-Chat-to-CLI, and three CLI screens each had exactly one OpenAI Codex header with no duplicate interface; fresh client PIDs were expected	server/web=91114b3a420f963ba2f1e65d0173f20a4513813d; daemon=91114b3a420f963ba2f1e65d0173f20a4513813d	yes (codex-app-server and client terminal)	no other probe; named p2915	2026-08-27 04:05:15 CEST	POD-2761
POD-2637 terminal evidence (FIX arm)	codex-browser+issue-cli	GONE; OpenAI Codex screen control fired, --terminal-evidence was accepted, and the stored PNG round-tripped byte-identically (165742 bytes, SHA-256 29c1567b9debb90636b9375b019cb02d368ebe7af3c86b4d5686a616f038cf7e)	server/web=91114b3a420f963ba2f1e65d0173f20a4513813d; daemon=91114b3a420f963ba2f1e65d0173f20a4513813d	yes (OpenAI Codex screen)	no other probe; named p2915; artifact stored on local POD-25	2026-08-27 04:05:15 CEST	POD-2637
dead agent process census (POST-FIX control population)	/proc+tracker	INFO numeric /proc PID→cwd scan still finds legacy untagged agents; they are foreign facts and were not guessed at or killed	ee0c7bc75	yes exact readlink /proc/<pid>/cwd, no pgrep -f	no isolated treatment in this census	2026-08-27 03:38 CEST	POD-2691
dead agent process reaper (POST-FIX TERM sentinel)	n/a-process	PASS real isolated instance: exact UUID/session/cwd child received SIGTERM, result examined=1 term=1 kill=0 remaining=0	ee0c7bc75	yes sentinel env + cwd verified before reap	no concurrent driver; isolated state root	2026-08-27 03:44 CEST	POD-2691
dead agent process reaper (POST-FIX KILL sentinel)	n/a-process	PASS real isolated instance: TERM-resistant exact UUID/session/cwd child received SIGTERM then SIGKILL, result examined=1 term=1 kill=1 remaining=0	ee0c7bc75	yes sentinel env + cwd verified before reap	no concurrent driver; isolated state root	2026-08-27 03:44 CEST	POD-2691
dead agent process reaper (foreign UUID control)	n/a-process	PASS same-session foreign UUID examined=0 and remained alive until explicit test cleanup	ee0c7bc75	yes foreign sentinel fired	no concurrent driver; isolated state root	2026-08-27 03:44 CEST	POD-2691
dead agent process reaper (POST-FIX settle census)	n/a-process	PASS 17 minutes after both positive-control arms: no live process retained a cwd under the controlled real-drive roots; TERM, KILL, and foreign sentinel PIDs had all exited; no rebound observed	ee0c7bc75	yes TERM and KILL sentinels fired before delayed read-only /proc census	no concurrent driver; controlled roots already cleaned by harness	2026-08-27 04:01 CEST	POD-2691
A6a terminal attach + type	opencode-terminal	PASS terminal attach emitted bytes; keystrokes echoed; resize repainted; second viewer shared screen	1f531c6cc7efc022db1b90e175c4640906ba97f6	yes; attach control 14349B; marker ECHO-HIR4IW echoed; second viewer 60233B and shared=true	yes; named instance oc2919; unique CWD /tmp/pod-2919/probes/terminal-a6a requested; actual spawned CWD /; server/daemon/bundle pins verified; generic-pty read from daemon environment; root 15G free at cell start	2026-08-27 04:34:41 CEST	POD-2919
[single] hidden spectator API omits its marker after restart	opencode-terminal	INCONCLUSIVE outputSeen=true and geometry 104x27 retained, but the marker was absent; observed during POD-2602 and deliberately NOT used against the sizing verdict	d532460b1	yes geometry+outputSeen both present	no 4 sessions live	2026-08-27 06:19 CEST	POD-2602
A1a send while idle (POD-2918 current-pin redrive)	claude-pty	PASS; three idle sends replied, including the required last send	40c198eae5987da8cfa81ac20582ad9161d8270e	yes 3/3 durable user turns; last send required	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:22 CEST	POD-2918
A1b send while busy (POD-2918 current-pin redrive)	claude-pty	FAIL; busy send returned queued=true without a durable position; reload delivered user and reply	40c198eae5987da8cfa81ac20582ad9161d8270e	yes busy user turn + working phase	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:25 CEST	POD-2918
A1c send to a dead session (POD-2918 current-pin redrive)	claude-pty	FAIL; dead-session send was accepted as queued while the row was still live; after exact child death the row exited with no resume ref and the assistant needle never arrived	40c198eae5987da8cfa81ac20582ad9161d8270e	yes baseline reply + exact child PID 1023334; follow-up exact child PID 1186968; both gone confirmed; assistant needle checked	yes named p2918; no concurrent drive; 13GB free	2026-08-27 06:43 CEST	POD-2918
A2a status while working (POD-2918 current-pin redrive)	claude-pty	PASS; working appeared within 2s, stayed working through the sample, and returned idle	40c198eae5987da8cfa81ac20582ad9161d8270e	yes durable user turn + working samples	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:32 CEST	POD-2918
A2b status at boot (POD-2918 current-pin redrive)	claude-pty	PASS; fresh session reported idle at boot	40c198eae5987da8cfa81ac20582ad9161d8270e	yes attached stream + 4355 screen bytes	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:34 CEST	POD-2918
A3 interrupt mid-turn (POD-2918 current-pin redrive)	claude-pty	FAIL; interrupt returned without a stopping record while the turn remained working	40c198eae5987da8cfa81ac20582ad9161d8270e	yes durable user turn + working phase; 1m load 3.83	yes named p2918; no concurrent drive; 13GB free	2026-08-27 05:36 CEST	POD-2918
A4a permission ask (POD-2918 current-pin redrive)	claude-pty	BLOCKED; known claude-code 2.1.231 permissions.defaultMode manual-to-auto rewrite; not retried	40c198eae5987da8cfa81ac20582ad9161d8270e	not retried; documented instrument limit	yes named p2918; no session launched; 15GB free	2026-08-27 05:37 CEST	POD-2918
A4b answer twice (POD-2918 current-pin redrive)	claude-pty	BLOCKED; known claude-code 2.1.231 permissions.defaultMode manual-to-auto rewrite; not retried	40c198eae5987da8cfa81ac20582ad9161d8270e	not retried; documented instrument limit	yes named p2918; no session launched; 15GB free	2026-08-27 05:38 CEST	POD-2918
A5 transcript (POD-2918 current-pin redrive)	claude-pty	PASS; tool call/result pair and reload history are intact using a harmless test marker	40c198eae5987da8cfa81ac20582ad9161d8270e	yes durable prompt + tool/result pair	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:40 CEST	POD-2918
A6a terminal attach and type (POD-2918 current-pin redrive)	claude-pty	PASS; keystrokes echoed, resize refit, and second viewer saw the same screen	40c198eae5987da8cfa81ac20582ad9161d8270e	yes native attach + 6708 bytes before input	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:41 CEST	POD-2918
A6b chat-CLI switch both directions twice (POD-2918 current-pin redrive)	claude-pty	PASS; chat-to-CLI-to-chat-to-CLI retained one live session and both views remained functional	40c198eae5987da8cfa81ac20582ad9161d8270e	yes first chat user turn + reply before switches	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:43 CEST	POD-2918
A7a daemon restart (POD-2918 current-pin redrive)	claude-pty	PASS; daemon restart retained the same live conversation and codeword; post-restart daemon pin matched	40c198eae5987da8cfa81ac20582ad9161d8270e	yes pre-restart codeword + reply	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:45 CEST	POD-2918
A7b hibernate and wake (POD-2918 current-pin redrive)	claude-pty	PASS; hibernate/wake preserved the conversation and answered after wake	40c198eae5987da8cfa81ac20582ad9161d8270e	yes pre-hibernate codeword + reply	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:47 CEST	POD-2918
A8 logged-out spawn (POD-2918 current-pin redrive)	claude-pty	BLOCKED; logged-out spawn showed the expected Not logged in /login path; external OAuth not completed	40c198eae5987da8cfa81ac20582ad9161d8270e	yes attached + 3408 screen bytes + visible login path	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:50 CEST	POD-2918
A9 kill session (POD-2918 current-pin redrive)	claude-pty	PASS; session process tree was gone immediately and after five minutes; post-A9 cwd map had only server/daemon	40c198eae5987da8cfa81ac20582ad9161d8270e	yes exact PID-to-cwd target tree + screen bytes	yes named p2918; no concurrent drive; 15GB free	2026-08-27 05:51 CEST	POD-2918
A6a terminal geometry after server restart and tab return	current-tip browser A6a	PASS; parent 0f0c616a reproduced the stale geometry-timeline rollback after harness restart, while epic tip d532460b reset the timeline and refit the returned terminal to 104x27 without a manual resize	0f0c616a35479411033b673262159df947e2cc21->ede96a9923078beeb58a098343452e721aa6bf48; epic tip d532460b14a2c11feaba9466e5361273fb91e1fd	yes; named shell markers P2602-A6A-PARENT-RESTART-2V-4J8M and P2602-A6A-FINAL-TIP-MARKER-2M7R fired; two distinct viewer clients both had outputSeen=true	one named harness and one probe directory per arm; parent and tip server+daemon source pins were written at process start; web bundle base/source 91114b3a4 used for both arms; A6b excluded as POD-2761	2026-08-27 06:06:17 CEST	POD-2602
[single] A1c dead-session send is ACCEPTED then LOST	claude-pty	FAIL killed exact child 1186968, send returned queued=true, session then status=exited with resume=null and no assistant needle for 120.036s	b81234d79	yes exact child proved alive then killed	no 4 sessions live	2026-08-27 06:52 CEST	POD-2918
# control = did a positive control fire; alone = no other driver was active in the isolated instance.
A1b send while busy (main baseline)	claude-pty-on-main	FAIL no queue position	0bd90092c3a926b9305da34547fcc51b1e19b0a7	yes	yes	2026-08-27 07:23 CEST	POD-2921
A1c send to a dead session (main baseline)	claude-pty-on-main	FAIL accepted after child death	0bd90092c3a926b9305da34547fcc51b1e19b0a7	yes	yes	2026-08-27 07:27 CEST	POD-2921
A3 interrupt mid-turn (main baseline)	claude-pty-on-main	PASS stopped and transcript marked	0bd90092c3a926b9305da34547fcc51b1e19b0a7	yes	yes	2026-08-27 08:33 CEST	POD-2921
[single] A4a permission ask (Codex auto-review re-drive)	codex-app-server	BLOCKED instrument: approvals_reviewer=auto_review; no ask on chat or terminal	ac5dcef3f5ed6b93e896576a8c5b8e3db877db65	yes; canonical sessions.transcriptRead showed the completed control turn and one successful Bash side effect	yes named p2924; no concurrent probe; server/daemon/web pin verified; terminal attach outputSeen=false	2026-08-27 09:11:36 CEST	POD-2923
[single] A4b answer twice (Codex auto-review re-drive)	codex-app-server	BLOCKED instrument: no first answer because approvals_reviewer=auto_review left no ask to answer	ac5dcef3f5ed6b93e896576a8c5b8e3db877db65	yes; completed control turn fired; first-answer precondition was absent	yes named p2924; no concurrent probe; server/daemon/web pin verified	2026-08-27 09:11:36 CEST	POD-2923
[single] A8 logged-out spawn (Codex)	codex-app-server/generic-pty/codex-app-server	PASS; logged-out native login path visible and fresh post-login session bound server driver	c7d84065703a8bf6a0c7105b37c8d665c7be5db3	yes; logged-in binding, logged-out terminal/account state, and fresh post-login binding controls all fired	yes named p2924; no concurrent probe; server/daemon pin c7d8406; unchanged web bundle ac5dcef reused and verified	2026-08-27 09:34:46 CEST	POD-2923
A3 [parent] interrupt mid-turn at exact epic tip	claude-pty	PASS stopped and transcript marked; pre-fix regression did not reproduce	a010e6b88198bc8672e1c3292de554b35edcdcba	yes durable marker plus PTY 7029->11569 and visible line 1	yes named p2924a3b; no concurrent drive; 14GB free; load1 8.66	2026-08-27 10:06:33 CEST	POD-2924
A1b [parent] send while busy reaches caller	codex-headless	FAIL expected; caller receipt omitted position and caption showed only pending	800b4ac06	yes; intercepted queued receipt and marker rendered	yes; named run p2920-0832-a1b-matrix, one worker, provider-free fixture	2026-08-27 08:33 CEST	POD-2920
A1b [fix] send while busy reaches caller	codex-headless	PASS; caller receipt position=2 and caption showed queue position 2	800b4ac06	yes; intercepted queued receipt with position=2 and marker rendered	yes; named run p2920-0832-a1b-matrix, one worker, provider-free fixture	2026-08-27 08:33 CEST	POD-2920
A1b [parent] send while busy reaches caller	claude-pty	FAIL expected; caller receipt omitted position and caption showed only pending	800b4ac06	yes; intercepted queued receipt and marker rendered	yes; named run p2920-0832-a1b-matrix, one worker, provider-free fixture	2026-08-27 08:33 CEST	POD-2920
A1b [fix] send while busy reaches caller	claude-pty	PASS; caller receipt position=2 and caption showed queue position 2	800b4ac06	yes; intercepted queued receipt with position=2 and marker rendered	yes; named run p2920-0832-a1b-matrix, one worker, provider-free fixture	2026-08-27 08:33 CEST	POD-2920
A1b [fix] real busy-send queue position survives caller reload	codex-app-server (family server)	PASS; caller receipt queued position=1; durable ledger row msg_b72cc943-7deb-4efd-8244-98ce9d755cbe reloaded at position=1, then delivered with exact reply P2920-CODEX-QUEUED-REPLY-C0Z3QA; evidence docs/evidence/pod-2920/readings/codex-a1b.json	59e851a655a75d88e5f50906317dce7b06a5222e	yes; durable control P2920-CODEX-CONTROL-JOL94X present and product phase=working before queued send	yes; named instance qpos2920; unique CWD /tmp/pod-2920-qpos/probes/codex-a1b; no runtime driver override; server/daemon/served-web spawn pins exact; codex-cli 0.149.1	2026-08-27 12:34:52 CEST	POD-2920
A1b [fix] real busy-send queue position survives caller reload	opencode-server (family server)	PASS; caller receipt queued position=1; durable ledger row msg_55233dd0-f405-4000-90ad-23d164a1e677 reloaded at position=1, then delivered with exact reply P2920-OPENCODE-QUEUED-REPLY-APDDEM; evidence docs/evidence/pod-2920/readings/opencode-a1b.json	59e851a655a75d88e5f50906317dce7b06a5222e	yes; durable control P2920-OPENCODE-CONTROL-I1KK0R present and product phase=working before queued send	yes; named instance qpos2920; unique CWD /tmp/pod-2920-qpos/probes/opencode-a1b; no runtime driver override; no prior-driver process; server/daemon/served-web spawn pins exact	2026-08-27 12:36:57 CEST	POD-2920
[single] A1a send while idle	grok-acp	PASS delivered receipt and exact reply in 2069ms; bubble never silently settled	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server; durable user turn and exact assistant marker arrived	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a1a; server/daemon spawn pins c26c267be; web sourceSha c26c267; code tree 7f0d53ea; root 12.3GiB free; load1 7.92; test:heavy free	2026-08-27 11:20:36 CEST	POD-2927
[single] A2a status while working	grok-acp	PASS working at 199ms, zero idle/blank samples between working states, final idle after exact reply	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server and exact BADGE-LRXR61 reply completed in 3105ms	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a2a-authoritative; server/daemon c26c267be; web c26c267; code tree 7f0d53ea; root 12.2GiB free; load1 8.48; test:heavy free; authoritative scorer excludes final idle from mid-turn flicker	2026-08-27 11:28:00 CEST	POD-2927
[single] A2b status at boot	grok-acp	PASS fresh bound session reported idle in 19/19 samples with no working or blank phase	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server and the fresh row was readable before any user turn	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a2b; server/daemon c26c267be; web c26c267; code tree 7f0d53ea; root 12.2GiB free; load1 10.56; test:heavy free	2026-08-27 11:29:47 CEST	POD-2927
[parent] A3 interrupt mid-turn	grok-acp	PARTIAL turn stopped 160ms after accepted interrupt but durable transcript showed no interrupt marker; refusal clause not exercised	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server; durable user turn and phase=working proved the turn was in flight before the call	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a3; server/daemon c26c267be; web c26c267; code tree 7f0d53ea; root 12.2GiB free; load1 7.40; test:heavy free	2026-08-27 11:38:31 CEST	POD-2927
[single] A5 transcript	grok-acp	FAIL tool call had no paired result; reload returned the same durable user/assistant history but retained the incomplete single tool item	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server; durable prompt and exact assistant nonce completed; one toolUseId call rendered	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a5; server/daemon c26c267be; web c26c267; code tree 7f0d53ea; root 12.1GiB free; load1 4.06; test:heavy free; fresh dedicated parser independently reproduced result=false	2026-08-27 11:42:19 CEST	POD-2927
[single] A6a terminal attach and type	grok-acp	BLOCKED native attach emitted zero bytes and no frames, so keystroke echo, resize refit, and second-viewer equality were unmeasurable	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	no; product reported grok-acp/server but the native attach positive control did not fire	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a6a; recovered same instance before scored attempt; server/daemon c26c267be PIDs 1954661/1954780; web c26c267; code tree 7f0d53ea; root 12.1GiB free; load1 8.98; test:heavy free	2026-08-27 12:00:35 CEST	POD-2927
[single] A6b chat to CLI switch both directions twice	grok-acp	PASS chat to CLI to chat to CLI preserved original process identity, scrollback marker, 120x40 size, post-switch chat reply, and CLI echo	c26c267be1c4b2f8cc6ccc2e66ea675e84024587	yes; product reported grok-acp/server; baseline chat answered and CLI echoed on the same session before switching	yes; named instance grok2927; unique CWD /tmp/pod-2927-grok/cells/headless-a6b; server/daemon c26c267be PIDs 1954661/1954780; web c26c267; code tree 7f0d53ea; root 12.1GiB free; load1 9.24; test:heavy free	2026-08-27 12:03:22 CEST	POD-2927
